 Year Tse_N Tse_0 Tse_P Ts_N Ts_0 Ts_P
  1.67500E+01  4.88095E-03  7.59259E-03  1.70833E-02  1.10781E-03  1.04707E-04 -2.01396E-03
  1.68333E+01  5.00000E-03  7.77778E-03  1.75000E-02  1.09865E-03  1.04698E-04 -2.00183E-03
  1.69167E+01  5.11905E-03  7.96297E-03  1.79167E-02  1.09238E-03  1.07477E-04 -1.98703E-03
  1.70000E+01  5.23810E-03  8.14815E-03  1.83333E-02  1.08883E-03  1.12884E-04 -1.96970E-03
  1.70833E+01  6.07144E-03  9.44446E-03  2.12500E-02  1.09439E-03  1.27320E-04 -1.94344E-03
  1.71667E+01  6.90478E-03  1.07408E-02  2.41667E-02  1.11488E-03  1.56662E-04 -1.90231E-03
  1.72500E+01  7.73810E-03  1.20370E-02  2.70833E-02  1.14907E-03  1.99762E-04 -1.84736E-03
  1.73333E+01  8.57144E-03  1.33333E-02  3.00000E-02  1.19587E-03  2.55625E-04 -1.77952E-03
  1.74167E+01  9.40478E-03  1.46297E-02  3.29167E-02  1.25443E-03  3.23434E-04 -1.69954E-03
  1.75000E+01  1.02381E-02  1.59259E-02  3.58333E-02  1.32398E-03  4.02497E-04 -1.60804E-03
  1.75833E+01  1.10714E-02  1.72222E-02  3.87500E-02  1.40389E-03  4.92215E-04 -1.50558E-03
  1.76667E+01  1.19048E-02  1.85185E-02  4.16667E-02  1.49358E-03  5.92063E-04 -1.39264E-03
  1.77500E+01  1.27381E-02  1.98148E-02  4.45833E-02  1.59256E-03  7.01574E-04 -1.26965E-03
  1.78333E+01  1.35714E-02  2.11111E-02  4.75000E-02  1.70038E-03  8.20329E-04 -1.13699E-03
  1.79167E+01  1.44048E-02  2.24074E-02  5.04167E-02  1.81663E-03  9.47949E-04 -9.95004E-04
  1.80000E+01  1.52381E-02  2.37037E-02  5.33333E-02  1.94094E-03  1.08409E-03 -8.44010E-04
  1.80833E+01  1.70238E-02  2.64815E-02  5.95834E-02  2.08169E-03  1.23716E-03 -6.75569E-04
  1.81667E+01  1.88096E-02  2.92593E-02  6.58334E-02  2.24655E-03  1.41488E-03 -4.81877E-04
  1.82500E+01  2.05952E-02  3.20370E-02  7.20833E-02  2.43374E-03  1.61562E-03 -2.64446E-04
  1.83333E+01  2.23810E-02  3.48148E-02  7.83334E-02  2.64173E-03  1.83795E-03 -2.45964E-05
  1.84167E+01  2.41667E-02  3.75926E-02  8.45834E-02  2.86925E-03  2.08067E-03  2.36578E-04
  1.85000E+01  2.59524E-02  4.03704E-02  9.08333E-02  3.11521E-03  2.34277E-03  5.18143E-04
  1.85833E+01  2.77381E-02  4.31482E-02  9.70834E-02  3.37866E-03  2.62336E-03  8.19282E-04
  1.86667E+01  2.95238E-02  4.59260E-02  1.03333E-01  3.65876E-03  2.92166E-03  1.13928E-03
  1.87500E+01  3.13095E-02  4.87037E-02  1.09583E-01  3.95476E-03  3.23697E-03  1.47748E-03
  1.88333E+01  3.30952E-02  5.14815E-02  1.15833E-01  4.26599E-03  3.56864E-03  1.83330E-03
  1.89167E+01  3.48810E-02  5.42593E-02  1.22083E-01  4.59181E-03  3.91611E-03  2.20621E-03
  1.90000E+01  3.66667E-02  5.70370E-02  1.28333E-01  4.93168E-03  4.27882E-03  2.59573E-03
