 lamda  B B_N
  4.02000E+00  1.39119E+11  4.36319E-03
  4.03000E+00  1.37855E+11  4.32355E-03
  4.04000E+00  1.36606E+11  4.28437E-03
  4.05000E+00  1.35371E+11  4.24563E-03
  4.06000E+00  1.34149E+11  4.20732E-03
  4.07000E+00  1.32941E+11  4.16944E-03
  4.08000E+00  1.31747E+11  4.13198E-03
  4.09000E+00  1.30566E+11  4.09495E-03
  4.10000E+00  1.29399E+11  4.05832E-03
  4.11000E+00  1.28244E+11  4.02211E-03
  4.12000E+00  1.27102E+11  3.98629E-03
  4.13000E+00  1.25973E+11  3.95088E-03
  4.14000E+00  1.24856E+11  3.91585E-03
  4.15000E+00  1.23751E+11  3.88121E-03
  4.16000E+00  1.22659E+11  3.84695E-03
  4.17000E+00  1.21579E+11  3.81307E-03
  4.18000E+00  1.20510E+11  3.77955E-03
  4.19000E+00  1.19453E+11  3.74641E-03
  4.20000E+00  1.18408E+11  3.71362E-03
  4.21000E+00  1.17374E+11  3.68119E-03
  4.22000E+00  1.16351E+11  3.64912E-03
  4.23000E+00  1.15339E+11  3.61739E-03
  4.24000E+00  1.14339E+11  3.58601E-03
  4.25000E+00  1.13349E+11  3.55496E-03
  4.26000E+00  1.12370E+11  3.52425E-03
  4.27000E+00  1.11401E+11  3.49386E-03
  4.28000E+00  1.10443E+11  3.46381E-03
  4.29000E+00  1.09494E+11  3.43407E-03
  4.30000E+00  1.08557E+11  3.40466E-03
  4.31000E+00  1.07629E+11  3.37555E-03
  4.32000E+00  1.06710E+11  3.34676E-03
  4.33000E+00  1.05802E+11  3.31827E-03
  4.34000E+00  1.04903E+11  3.29008E-03
  4.35000E+00  1.04014E+11  3.26219E-03
  4.36000E+00  1.03134E+11  3.23460E-03
  4.37000E+00  1.02264E+11  3.20729E-03
  4.38000E+00  1.01402E+11  3.18027E-03
  4.39000E+00  1.00550E+11  3.15354E-03
  4.40000E+00  9.97062E+10  3.12708E-03
  4.41000E+00  9.88714E+10  3.10090E-03
  4.42000E+00  9.80454E+10  3.07500E-03
  4.43000E+00  9.72280E+10  3.04936E-03
  4.44000E+00  9.64190E+10  3.02399E-03
  4.45000E+00  9.56184E+10  2.99888E-03
  4.46000E+00  9.48261E+10  2.97403E-03
  4.47000E+00  9.40419E+10  2.94944E-03
  4.48000E+00  9.32658E+10  2.92509E-03
  4.49000E+00  9.24978E+10  2.90101E-03
  4.50000E+00  9.17375E+10  2.87716E-03
  4.51000E+00  9.09850E+10  2.85356E-03
  4.52000E+00  9.02402E+10  2.83020E-03
  4.53000E+00  8.95030E+10  2.80708E-03
  4.54000E+00  8.87733E+10  2.78420E-03
  4.55000E+00  8.80510E+10  2.76154E-03
  4.56000E+00  8.73360E+10  2.73912E-03
  4.57000E+00  8.66283E+10  2.71692E-03
  4.58000E+00  8.59276E+10  2.69495E-03
  4.59000E+00  8.52341E+10  2.67319E-03
  4.60000E+00  8.45474E+10  2.65166E-03
  4.61000E+00  8.38677E+10  2.63034E-03
  4.62000E+00  8.31948E+10  2.60924E-03
  4.63000E+00  8.25285E+10  2.58834E-03
  4.64000E+00  8.18690E+10  2.56766E-03
  4.65000E+00  8.12160E+10  2.54717E-03
  4.66000E+00  8.05694E+10  2.52690E-03
  4.67000E+00  7.99293E+10  2.50682E-03
  4.68000E+00  7.92955E+10  2.48694E-03
  4.69000E+00  7.86680E+10  2.46726E-03
  4.70000E+00  7.80466E+10  2.44777E-03
  4.71000E+00  7.74314E+10  2.42848E-03
  4.72000E+00  7.68222E+10  2.40937E-03
  4.73000E+00  7.62189E+10  2.39045E-03
  4.74000E+00  7.56216E+10  2.37172E-03
  4.75000E+00  7.50300E+10  2.35317E-03
  4.76000E+00  7.44443E+10  2.33479E-03
  4.77000E+00  7.38642E+10  2.31660E-03
  4.78000E+00  7.32898E+10  2.29859E-03
  4.79000E+00  7.27209E+10  2.28074E-03
  4.80000E+00  7.21575E+10  2.26307E-03
  4.81000E+00  7.15996E+10  2.24558E-03
  4.82000E+00  7.10470E+10  2.22825E-03
  4.83000E+00  7.04997E+10  2.21108E-03
  4.84000E+00  6.99577E+10  2.19408E-03
  4.85000E+00  6.94208E+10  2.17724E-03
  4.86000E+00  6.88891E+10  2.16057E-03
  4.87000E+00  6.83625E+10  2.14405E-03
  4.88000E+00  6.78408E+10  2.12769E-03
  4.89000E+00  6.73242E+10  2.11149E-03
  4.90000E+00  6.68124E+10  2.09544E-03
  4.91000E+00  6.63055E+10  2.07954E-03
  4.92000E+00  6.58033E+10  2.06379E-03
  4.93000E+00  6.53059E+10  2.04819E-03
  4.94000E+00  6.48132E+10  2.03274E-03
  4.95000E+00  6.43251E+10  2.01743E-03
  4.96000E+00  6.38416E+10  2.00226E-03
  4.97000E+00  6.33626E+10  1.98724E-03
  4.98000E+00  6.28881E+10  1.97236E-03
  4.99000E+00  6.24180E+10  1.95761E-03
  5.00000E+00  6.19523E+10  1.94301E-03
  5.01000E+00  6.14909E+10  1.92854E-03
  5.02000E+00  6.10338E+10  1.91420E-03
  5.03000E+00  6.05809E+10  1.90000E-03
  5.04000E+00  6.01322E+10  1.88592E-03
  5.05000E+00  5.96876E+10  1.87198E-03
  5.06000E+00  5.92471E+10  1.85817E-03
  5.07000E+00  5.88107E+10  1.84448E-03
  5.08000E+00  5.83783E+10  1.83092E-03
  5.09000E+00  5.79499E+10  1.81748E-03
  5.10000E+00  5.75253E+10  1.80416E-03
  5.11000E+00  5.71046E+10  1.79097E-03
  5.12000E+00  5.66878E+10  1.77790E-03
  5.13000E+00  5.62747E+10  1.76494E-03
  5.14000E+00  5.58654E+10  1.75211E-03
  5.15000E+00  5.54599E+10  1.73939E-03
  5.16000E+00  5.50579E+10  1.72678E-03
  5.17000E+00  5.46596E+10  1.71429E-03
  5.18000E+00  5.42649E+10  1.70191E-03
  5.19000E+00  5.38738E+10  1.68964E-03
  5.20000E+00  5.34861E+10  1.67748E-03
  5.21000E+00  5.31019E+10  1.66544E-03
  5.22000E+00  5.27212E+10  1.65349E-03
  5.23000E+00  5.23439E+10  1.64166E-03
  5.24000E+00  5.19699E+10  1.62993E-03
  5.25000E+00  5.15992E+10  1.61831E-03
  5.26000E+00  5.12319E+10  1.60678E-03
  5.27000E+00  5.08678E+10  1.59537E-03
  5.28000E+00  5.05069E+10  1.58405E-03
  5.29000E+00  5.01492E+10  1.57283E-03
  5.30000E+00  4.97947E+10  1.56171E-03
  5.31000E+00  4.94433E+10  1.55069E-03
  5.32000E+00  4.90950E+10  1.53977E-03
  5.33000E+00  4.87497E+10  1.52894E-03
  5.34000E+00  4.84075E+10  1.51820E-03
  5.35000E+00  4.80682E+10  1.50756E-03
  5.36000E+00  4.77319E+10  1.49702E-03
  5.37000E+00  4.73986E+10  1.48656E-03
  5.38000E+00  4.70681E+10  1.47620E-03
  5.39000E+00  4.67405E+10  1.46592E-03
  5.40000E+00  4.64158E+10  1.45574E-03
  5.41000E+00  4.60939E+10  1.44564E-03
  5.42000E+00  4.57747E+10  1.43563E-03
  5.43000E+00  4.54583E+10  1.42571E-03
  5.44000E+00  4.51446E+10  1.41587E-03
  5.45000E+00  4.48337E+10  1.40612E-03
  5.46000E+00  4.45254E+10  1.39645E-03
  5.47000E+00  4.42197E+10  1.38686E-03
  5.48000E+00  4.39166E+10  1.37736E-03
  5.49000E+00  4.36162E+10  1.36793E-03
  5.50000E+00  4.33183E+10  1.35859E-03
  5.51000E+00  4.30229E+10  1.34933E-03
  5.52000E+00  4.27300E+10  1.34014E-03
  5.53000E+00  4.24397E+10  1.33103E-03
  5.54000E+00  4.21517E+10  1.32200E-03
  5.55000E+00  4.18663E+10  1.31305E-03
  5.56000E+00  4.15832E+10  1.30417E-03
  5.57000E+00  4.13025E+10  1.29537E-03
